number_of_components,n_nodes,n_edges,density,global_efficiency,diameter,shortest_path,city,year,total_funding
1,2,1,1.0,1.0,1,1.0,Porsgrunn,2016,0.0
2,2,1,1.0,1.0,1,1.0,Porsgrunn,2022,3622742.0
1,2,1,1.0,1.0,1,1.0,Sasso Marconi,2016,110139.0
1,2,1,1.0,1.0,1,1.0,Bjørkelangen,2018,
1,2,1,1.0,1.0,1,1.0,Københoved,2021,6384822.0
2,2,1,1.0,1.0,1,1.0,Københoved,2022,16646760.0
1,2,1,1.0,1.0,1,1.0,Andorra La Vella,2019,0.0
1,3,3,1.0,1.0,1,1.0,Andorra La Vella,2021,3800000.0
1,3,3,1.0,1.0,1,1.0,Andorra La Vella,2022,3800000.0
1,2,1,1.0,1.0,1,1.0,Pozuelo De Alarcón,2023,36988516.0
1,2,1,1.0,1.0,1,1.0,Wijnegem,2013,0.0
1,3,3,1.0,1.0,1,1.0,Wijnegem,2020,484029.0
1,2,1,1.0,1.0,1,1.0,London,1959,
2,2,1,1.0,1.0,1,1.0,London,1965,
3,2,1,1.0,1.0,1,1.0,London,1970,
4,2,1,1.0,1.0,1,1.0,London,1972,
5,2,1,1.0,1.0,1,1.0,London,1974,
6,2,1,1.0,1.0,1,1.0,London,1977,
6,3,3,1.0,1.0,1,1.0,London,1979,
7,3,3,1.0,1.0,1,1.0,London,1980,
8,3,3,1.0,1.0,1,1.0,London,1981,
8,3,3,1.0,1.0,1,1.0,London,1982,
8,3,3,1.0,1.0,1,1.0,London,1983,
9,3,3,1.0,1.0,1,1.0,London,1984,
11,3,3,1.0,1.0,1,1.0,London,1985,
14,3,3,1.0,1.0,1,1.0,London,1986,
15,4,3,0.5,0.75,2,1.5,London,1987,
16,5,4,0.4,0.7,2,1.6,London,1988,
17,7,6,0.2857142857142857,0.6111111111111109,3,1.9047619047619047,London,1989,
18,9,8,0.2222222222222222,0.5416666666666666,4,2.2222222222222223,London,1990,
18,11,10,0.18181818181818182,0.5121212121212123,4,2.327272727272727,London,1991,
20,11,10,0.18181818181818182,0.5121212121212123,4,2.327272727272727,London,1992,
